name,mp3
"WHY ARE WE BULLISH? Neil Jacobs, Econo Alchemist, Chris Alaimo ep252",https://anchor.fm/s/11e95d20/podcast/play/50966436/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-22%2F261203039-44100-2-3fd5d2369dc22.mp3
NEWS ROUNDUP: Russian Bitcoin Miners Sanctioned By US Treasury ep251,https://anchor.fm/s/11e95d20/podcast/play/50915297/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-21%2F261003470-44100-2-c78a1d61aa172.mp3
"WHY ARE WE BULLISH? Shaun Connell, Jyn Urso, Mark Stephany ep250",https://anchor.fm/s/11e95d20/podcast/play/50648911/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-15%2F259975481-44100-2-272e7115e984f.mp3
NEWS ROUNDUP: Bitcoin 2022 Miami Recap - Announcements Talks and More ep249,https://anchor.fm/s/11e95d20/podcast/play/50604887/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-14%2F259823129-44100-2-66eec56754e91.mp3
"WHY ARE WE BULLISH? Yusuf Nessary, Isabella Santos, Joe Carlasare, Sam Callahan ep248",https://anchor.fm/s/11e95d20/podcast/play/49980288/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-1%2F257402822-44100-2-a00c6d3e0da0d.mp3
NEWS ROUNDUP: GreenPeace Lobbies To Change Bitcoin Code ep247,https://anchor.fm/s/11e95d20/podcast/play/49929855/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-31%2F257191978-44100-2-a00d6f9f5f9ed.mp3
"WHY ARE WE BULLISH? Tomer Strolight, BTC Casey, Denver Bitcoin ep246",https://anchor.fm/s/11e95d20/podcast/play/49636374/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-26%2F256038862-44100-2-ff3e230cbf46c.mp3
NEWS ROUNDUP: Russia Eyes Accepting Bitcoin For Natural Gas ep245,https://anchor.fm/s/11e95d20/podcast/play/49567160/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-24%2F255778041-44100-2-25d29696cf63.mp3
"WHY ARE WE BULLISH? Canadian BTC Pod, John Fakhoury ep244",https://anchor.fm/s/11e95d20/podcast/play/49222438/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-18%2F254444866-44100-2-3a74df1bc2965.mp3
"WHY ARE WE BULLISH? Kal Kassa, Pierre Corbin, Chris Smith, Ben Gagnon ep243",https://anchor.fm/s/11e95d20/podcast/play/48924119/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-12%2F253272604-44100-2-dac52f14aaffa.mp3
NEWS ROUNDUP: Inflation Hits 40 Year Highs - Again ep242,https://anchor.fm/s/11e95d20/podcast/play/48871145/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-11%2F253057847-44100-2-7f4be0708bc57.mp3
"WHY ARE WE BULLISH? Troy Cross, GoodGuy Biker, Jesse Berger ep241",https://anchor.fm/s/11e95d20/podcast/play/48587749/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-5%2F251962996-44100-2-951ca965b13a5.mp3
"WHY ARE WE BULLISH? Dan Kuhman, Brianna Honkawa d'Estries, Brandon-Keys ep240",https://anchor.fm/s/11e95d20/podcast/play/48226639/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-1-26%2F250553652-44100-2-6cd2bb54315e8.mp3
NEWS ROUNDUP: Global Conflict And Its Impact On Bitcoin ep239,https://anchor.fm/s/11e95d20/podcast/play/48177803/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-1-25%2F250356227-44100-2-02fc008c700ad.mp3
"WHY ARE WE BULLISH? Guy Swann, Nico Zm, James Lavish ep238",https://anchor.fm/s/11e95d20/podcast/play/47882433/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-1-19%2F249249203-44100-2-0dd4c19eabe73.mp3
