name,mp3
#17 - Alex Gladstein: Why 'The Money' is the Biggest Missing Piece in the Fight for Human Rights,https://anchor.fm/s/61f23cb0/podcast/play/49161170/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-16%2Fb452cf7e-135d-3702-e094-5c64bcf39317.mp3
#16 - Keyan Kousha: Using Bitcoin to Foster 'Natural Communities' Online w/ Stacker News,https://anchor.fm/s/61f23cb0/podcast/play/48354072/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-2%2F10a9b7fe-cc7a-bf61-b4e4-3840827c9719.mp3
#15 - Oscar Merry: Building the Value4Value Infrastructure,https://anchor.fm/s/61f23cb0/podcast/play/47656119/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-1-17%2Fe50b3d3d-479e-cd3c-e278-2f4448d01bae.mp3
#14 - Rodolfo Novak: A Decade of Bitcoin Entrepreneurship,https://anchor.fm/s/61f23cb0/podcast/play/46951876/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-0-31%2F4705a98d-80d0-7c36-10a4-7d23543b0637.mp3
#13 - Gigi: The Future of Value,https://anchor.fm/s/61f23cb0/podcast/play/46101849/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-0-13%2F3e1f4c0c-88b8-b18b-b43c-724469ead257.mp3
"#12 - Cory Klippsten: Building a Bitcoin Company for Bitcoiners, by Bitcoiners",https://anchor.fm/s/61f23cb0/podcast/play/45180778/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-11-23%2F983d40c8-21db-3d58-631f-59728fd8ba8d.mp3
#11 - Steve Barbour: The Solution Is to Plug in More ASICs,https://anchor.fm/s/61f23cb0/podcast/play/44560762/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-11-8%2Fb476b967-7fad-1bc6-04b4-2e70e139b310.mp3
#10 - David Bailey: Celebrating Bitcoin Culture,https://anchor.fm/s/61f23cb0/podcast/play/43764789/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-10-22%2F9d0a44a2-67c2-2b5e-a805-4084172b9ad5.mp3
#09 - Adam Curry: Can't Stop the Signal,https://anchor.fm/s/61f23cb0/podcast/play/43001654/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-10-9%2Fc9d8550e-cded-094d-fe0c-4052b32e6942.mp3
#08 - Preston Pysh: A Once in a Millennium Opportunity,https://anchor.fm/s/61f23cb0/podcast/play/42283478/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-9-25%2Fddc570f7-0d0b-5820-d7bf-c44d52d05532.mp3
#07 - Dhruv Bansal: Bitcoin-Native Financial Services w/ Unchained Capital,https://anchor.fm/s/61f23cb0/podcast/play/41630256/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-9-11%2Fe22f4454-ea0f-9b22-119c-1111f47d05c8.mp3
#06 - Whit Gibbs: Now Everyone Can Mine Bitcoin,https://anchor.fm/s/61f23cb0/podcast/play/40795179/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-8-24%2Ff0515869-aa53-7885-bb39-6fccb96384e1.mp3
#05 - Roy Sheinfeld: The Interface of the Peer to Peer Lightning Economy w/ Breez,https://anchor.fm/s/61f23cb0/podcast/play/39889403/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-8-6%2Fd0cef702-ebde-e773-8198-fcc9c15f1a2c.mp3
#04 - Daniel Buchner: Decentralized Identity on Bitcoin w/ Microsoft's ION,https://anchor.fm/s/61f23cb0/podcast/play/39210955/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-7-23%2F3eaf53ed-2b40-94a1-88e4-6f91fd10bc53.mp3
"#03 - Harry Sudock: Bitcoin Mining at GRIID, the Evolution of Energy Production, and Human Flourishing",https://anchor.fm/s/61f23cb0/podcast/play/38487458/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-7-8%2F2707675f-e2c4-5365-d76c-c762a80de2fb.mp3
"#02 - Paul Itoi: Stakwork, Sphinx Chat, and the Bitcoin Lightning Economy",https://anchor.fm/s/61f23cb0/podcast/play/37550084/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-6-20%2F3d4fa632-4333-5d76-bc68-1efb93802ecd.mp3
#01 - Gigi: Introduction to Closing the Loop,https://anchor.fm/s/61f23cb0/podcast/play/36631702/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-6-3%2F7e9dc231-eac8-adb5-6faa-5ee5ed8fa441.mp3
