name,mp3
#897 Keeping Your Crypto Assets Secure w/ Adam Healy,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC7774887836.mp3?updated=1649553477
#896 Bitcoin Poised To Go Higher As Recession Looms - BTC On-Chain Analytics,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8466512510.mp3?updated=1648861950
What To Expect At The Bitcoin Conference This Week - #900,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC7836409025.mp3?updated=1649123961
Thomas Farley On Leaving The NYSE For The Crypto Industry - #899,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8878870724.mp3?updated=1649122905
"#895 Takeaways From My Conversation With Chris Larsen, Co-Founder of Ripple",https://chtbl.com/track/D851/traffic.megaphone.fm/OTC2210234726.mp3?updated=1648775729
#894 Personalized Monetary Policy Is Coming w/ Darius Dale,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5722131016.mp3?updated=1648775475
#893 How FTX Marketing Is Taking Over Culture w/ Avinash Dabir,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC1861663052.mp3?updated=1648686633
Dylan LeClair On Central Banks Going Bankrupt #901,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC2118591190.mp3?updated=1649208149
David Mercer On How Institutions Will Make Bitcoin Price Explode #902,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8294370919.mp3?updated=1649338138
#892 Bitcoin & Climate Change w/ Chris Larsen,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC4005244255.mp3?updated=1648687370
Yoni Assia on eTorro Adding NFTs To Their Balance Sheet #903,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC6963664304.mp3?updated=1649295481
Jeff Booth On How Inflation Is Theft #904,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC3948727380.mp3?updated=1649424087
Allen Farrington On Why Bitcoin Is Venice #905,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5158434929.mp3?updated=1649380322
Bitcoin's Illiquid Supply Continues To Go Parabolic - BTC On-Chain Analytics #906,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5759270509.mp3?updated=1649472050
Richard Ryan On Building A Billion Dollar Coffee Company #907,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC9592472016.mp3?updated=1649553059
#891 There Is Not Enough Bitcoin Available In The Market,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC7203890895.mp3?updated=1648668355
#890 Bitcoin Is Breaking Out w/ Dylan LeClair,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC3846167448.mp3?updated=1648605363
#889 Free Markets vs. Market Interventionists,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC4341725660.mp3?updated=1648562381
#888 Why Bitcoin Is Good For America w/ Senate Candidate Blake Masters,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5236189672.mp3?updated=1648527819
Strike Is Bringing Freedom To Retail Merchants #908,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8838565217.mp3?updated=1649553163
#887 Legendary Investor Explains How Bitcoin Will Be Worth Millions w/ Peter Doyle,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC1027608298.mp3?updated=1648431430
#886 How To Invest During The Fast Changing Macro Environment w/ Jeff Richards,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC6692420678.mp3?updated=1648390423
#885 Oil and Gas Will Usher In The Bitcoin Standard,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5163187973.mp3?updated=1648232024
#909 Jason Les On Bringing Hashrate To The U.S.,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8628984932.mp3?updated=1649734142
#884 Bitcoin Is Up 30% In The Last 2 Months w/ Will Clemente,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC3099141291.mp3?updated=1648231380
#883 What The Hell Is A DAO?! w/ Alexander Taub,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5303978101.mp3?updated=1648221507
#910 Natalie Brunell On Why Bitcoin Is The American Dream,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC1027930325.mp3?updated=1649686590
#911 Peter McCormack On How Far Bitcoin Has Come In The Last Decade,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC5131506869.mp3?updated=1649723479
#882 Bitcoin & Ethereum Are Going To Break Out Of Bear Market w/ Darius Dale,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC6545684180.mp3?updated=1648167462
"#881 Mine Bitcoin Now, Pay Later w/ Wit Gibbs & Zain Allarakhia",https://chtbl.com/track/D851/traffic.megaphone.fm/OTC6248490676.mp3?updated=1648221521
#912 Udi Wertheimer On Toxic Bitcoin Maximalism,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC9422048065.mp3?updated=1649724141
#913  Dylan LeClair Explains The Financial Repression Occurring Right Now,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC4470318877.mp3?updated=1649814614
#914 Inflation Is Here And Putin Didn't Create It,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC3718917425.mp3?updated=1649814388
#915 Benyamin On Becoming A 13 Year Old Crypto Millionaire,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC7799494674.mp3?updated=1649903958
#916 Central Banks Are Showing Signs Of Extreme Stress,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC3887911414.mp3?updated=1649903966
#917 Darius Dale On Why The Fed Has A Serious Inflation Problem On Their Hands,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC9401455795.mp3?updated=1649984840
#918 Ken Seiff On Why He Pivoted To Go All-In On Crypto Investments,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8359035010.mp3?updated=1650068299
#919 Most Of The Bitcoin Supply Has Not Moved In Past Year,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8686340639.mp3?updated=1650153613
#880 The $10 Billion Stablecoin Bet on The Bitcoin Standard w/ Do Kwon,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC4145985383.mp3?updated=1648084115
#879 Sell Your Company Without Venture Capital w/ Andrew Gazdecki,https://chtbl.com/track/D851/traffic.megaphone.fm/OTC8477355509.mp3?updated=1648000289
