name,mp3
"Read_619 - Bitcoin Mining & The Gird, Part 1 - Generators [Blake King]",https://traffic.megaphone.fm/CSN9887407840.mp3?updated=1650417955
Read_618 - Expanding Functionality in Lightning Implementations [Shinobi],https://traffic.megaphone.fm/CSN1921856693.mp3?updated=1650333249
"Read_617 - Announcing Taro, Multi-Asset Bitcoin & Lightning [Ryan Gentry]",https://traffic.megaphone.fm/CSN1100459556.mp3?updated=1650332701
Read_616 - Current State of Lightning Privacy [Tony],https://traffic.megaphone.fm/CSN8023885015.mp3?updated=1649356226
Guy's Take #52 - Follow up to Read 615 - The State vs Bitcoin,https://traffic.megaphone.fm/CSN8694961878.mp3?updated=1649356215
Read_615 - The State vs Bitcoin [Steve Barbour],https://traffic.megaphone.fm/CSN5500153836.mp3?updated=1648488553
Read_614 - ...and Then They Fight You [SovrynMindset],https://traffic.megaphone.fm/CSN7945548804.mp3?updated=1648137184
Read_613 - Against the Inevitability of Bitcoin [Ariel Deschapell],https://traffic.megaphone.fm/CSN2942152782.mp3?updated=1648070623
Read_612 - Energy Cancelled [Arthur Hayes],https://traffic.megaphone.fm/CSN7499314753.mp3?updated=1647656701
Read_611 - The Freedom of Value [Dergig],https://traffic.megaphone.fm/CSN1526706225.mp3?updated=1647613118
Read_610 - The Invisible Cost of War - Part 2 [Alex Gladstein],https://traffic.megaphone.fm/CSN6704300275.mp3?updated=1647372510
Read_609 - The Invisible Cost of War - Part 1 [Alex Gladstein],https://traffic.megaphone.fm/CSN9396655105.mp3?updated=1647015792
Read_608 - Want to Stick it to the Elites? Use Bitcoin [Avik Roy],https://traffic.megaphone.fm/CSN8381592443.mp3?updated=1646942535
Read_607 - Implications of Outlawing Bitcoin [Dergigi],https://traffic.megaphone.fm/CSN9075265645.mp3?updated=1646942365
Read_606 - Lightning is a Liquidity Network [Roy Sheinfeld],https://traffic.megaphone.fm/CSN1823272013.mp3?updated=1646942561
Read_605 - Bitcoin Behind the Veil [Craig Warmke],https://traffic.megaphone.fm/CSN8784561285.mp3?updated=1646942609
"Read_604 - I Was Wrong, We Need Crypto [David Hansson]",https://traffic.megaphone.fm/CSN5387357530.mp3?updated=1646942742
"Read_603 - If Russia Invites Bitcoin Adoption, The Global Arms Race Begins [Mike Hobart]",https://traffic.megaphone.fm/CSN2186741210.mp3?updated=1646942770
"Read_602 - Bitcoin's Peaceful Revolution, A New Hope for Humanity [Peter St Onge]",https://traffic.megaphone.fm/CSN4678794109.mp3?updated=1646942822
Read_601 - Bitcoin First [Fidelity],https://traffic.megaphone.fm/CSN5267645545.mp3?updated=1646942921
Read_600 - The Separation of Money and State [Allen Farrington],https://traffic.megaphone.fm/CSN1688332860.mp3?updated=1646942901
Chat #67 - Pioneer Species with Brandon Quittem,https://traffic.megaphone.fm/CSN2022204034.mp3?updated=1646942963
Read_599 - Why Every Fixed Income Investor Should Consider Bitcoin - Part 3 & 4 [Greg Foss],https://traffic.megaphone.fm/CSN6507358708.mp3?updated=1646943007
Read_598 - Why Every Fixed Income Investor Should Consider Bitcoin - Part 1 & 2 [Greg Foss],https://traffic.megaphone.fm/CSN6866384588.mp3?updated=1646943046
Guy's Take #51 - AOPP & the Travel Rule,https://traffic.megaphone.fm/CSN2170556098.mp3?updated=1646943075
Read_597 - The 7th Property Ch1 - The Dimensions of Money [Eric Yakes],https://traffic.megaphone.fm/CSN4781751285.mp3?updated=1646943103
Read_596 - Bitcoin is a Pioneer Species [Brandon Quittem],https://traffic.megaphone.fm/CSN3525046291.mp3?updated=1646943177
Read_595 - Money Messiah: Part 2 [John Vallis],https://traffic.megaphone.fm/CSN3747265406.mp3?updated=1646943250
Read_594 - Money Messiah: Part 1 [John Vallis],https://traffic.megaphone.fm/CSN7418300327.mp3?updated=1646943344
Read_593 - Bitcoin Heading to $30k? [Nik Bhatia],https://traffic.megaphone.fm/CSN9163046496.mp3?updated=1646943334
Read_592 - First Impressions of Web3 [Moxie Marlinspike],https://traffic.megaphone.fm/CSN3382021333.mp3?updated=1646943400
"Chat #66 - Will the Real Web3 Please Stand Up, with John Carvalho",https://traffic.megaphone.fm/CSN1550828515.mp3?updated=1646943487
