name,mp3
@TheMoneyTech - How I Got Rekt Mining #Bitcoin in 2017. #251,https://anchor.fm/s/1346f9e8/podcast/play/51083071/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-25%2F6fe684cd-8bfa-6bc7-c75d-891aa464acb8.mp3
"@tragedyandhope - Richard Grove - Whistle Blowing 911, Fighting For Freedom And The Ultimate History Lesson With John Taylor Gatto. #250",https://anchor.fm/s/1346f9e8/podcast/play/50897505/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-21%2Ff14ed39e-f6af-01c1-8f6d-6b929022b3bb.mp3
@reallytanman - Avoid Seed Oils And Sun Your Balls. #249,https://anchor.fm/s/1346f9e8/podcast/play/50575971/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-14%2F6d6d59ec-d5cf-fb25-1301-72012e9adf3f.mp3
@BitcoinMaxiHodl - Escaping Fiat Work and The #Education System. #248,https://anchor.fm/s/1346f9e8/podcast/play/50039712/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-3%2F551bbb3d-782d-1993-1ea8-446fa13ecfb4.mp3
@CBradleyThomps1 Separating Education From State. #247,https://anchor.fm/s/1346f9e8/podcast/play/50038374/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-3-3%2F5e680a2e-bcf7-dce0-bbb9-5de836fea80c.mp3
@BitcoinQ_A - How I Escaped My Fiat Job. #246,https://anchor.fm/s/1346f9e8/podcast/play/49923841/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-31%2Fc885fbe8-87fa-d04a-5da4-b02cf2795dfa.mp3
@PrincFilip1 - I Will Do Whatever It Takes To Push The Adoption Of #bitcoin #245,https://anchor.fm/s/1346f9e8/podcast/play/49536658/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-24%2Fdbb03403-d0fe-9dc2-2e2d-dda2d120d29c.mp3
@DTAPCAP - #Bitcoin Is Unique. #244,https://anchor.fm/s/1346f9e8/podcast/play/49422188/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-22%2F3b3df467-5535-f455-3e99-2ab50fb83201.mp3
@SSatoshiho - Bitcoin Guerilla Marketing Stunts! #243,https://anchor.fm/s/1346f9e8/podcast/play/49079905/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-15%2F0bb4c138-2432-4bf9-157a-917c7aabe881.mp3
Peggy Webb - @westriveracadem - Discusses How and Why To Exit The Education System. #242,https://anchor.fm/s/1346f9e8/podcast/play/48851005/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-2-10%2F5e7d937c-55a4-20e4-66c4-b1cb06c913b1.mp3
